Hint,Answer,Category
"What is Amazon Elastic Beanstalk?","AWS Elastic Beanstalk is a Platform as a Service (PaaS) offered by Amazon Web Services that lets you quickly deploy and manage web applications and services without having to worry about the infrastructure behind them. Elastic Beanstalk handles Provisioning of servers, Load balancing, Auto scaling, Monitoring and health checks, Application deployment","AWS"
"What are the steps of the STAR process?","Situation, Task, Action, Result","General Interview"
"How do you approach debugging a problem in your code?", "1. Identify the problem: Understand what the issue is and gather information about it. 2. Reproduce the issue: Try to recreate the problem to see it in action.3. Isolate the cause: Narrow down where the problem is occurring in your code.4. Fix the issue: Make changes to your code to resolve the problem.5. Test the fix: Ensure that the fix works and does not introduce new issues.","Engineering Interview"
"Qualitative vs Quantitative Data","Quantitative data is numbers-based, countable, or measurable. Qualitative data is interpretation-based, descriptive, and relating to language","Statistics"
"Can you explain the difference between a depth-first search (DFS) and a breadth-first search (BFS)?","Depth-first search (DFS) explores as far as possible along each branch before backtracking, while breadth-first search (BFS) explores all neighbors at the present depth prior to moving on to nodes at the next depth level.","Algorithms"
"What is the difference between supervised and unsupervised learning?","Supervised learning uses labeled data to train models, while unsupervised learning finds patterns in unlabeled data.","AI/Machine Learning"
"What is Pivoting?","Pivoting is a technique used in data analysis to reorganize and summarize data, often used in spreadsheets and databases to create a new view of the data by aggregating and rearranging it based on specific criteria.","Data Analysis"
"What is AWS Elastic File System (EFS)?", "It is a fully managed scalable elastic and shared file storage service. It’s designed to be used with Amazon EC2 instances containers (like ECS or EKS) and Lambda functions.  Frequent access and Scales Automatically", "AWS"
"What is Amazon S3 (Simple Storage Service)?","Amazon S3 is an object storage service that offers industry-leading scalability data availability security and performance. It allows you to store and retrieve any amount of data from anywhere on the web.","AWS"
"What is Hadoop?", Apache Hadoop is an open-source framework for distributed storage and processing of large datasets across clusters of computers using simple programming models.It’s especially useful for big data workloads where scalability fault tolerance and parallel processing are critical.","Data Analysis"
"What is HDFS", "HDFS (Hadoop Distributed File System) is the primary storage system of Hadoop. It is designed to store large files across multiple machines in a distributed environment providing high throughput access to application data. HDFS is highly fault-tolerant and is designed to be deployed on low-cost hardware. Built in to AWS S3","AWS"
"What is Amazon RDS (Relational Database Service)?","Amazon RDS is a managed relational database service that makes it easy to set up operate and scale a relational database in the cloud. It supports several database engines including MySQL PostgreSQL Oracle and SQL Server.","AWS"
"How would you approach analyzing a drop in sales over the last quarter?","1. Gather data: Collect sales data for the last quarter and compare it with previous quarters. 2. Identify trends: Look for patterns or anomalies in the data. 3. Analyze factors: Consider external factors such as market conditions competition and customer feedback. 4. Formulate hypotheses: Develop potential reasons for the drop in sales. 5. Test hypotheses: Use statistical methods to validate or refute your hypotheses.","Engineering Interview"
"SQL key words and what orders they are used in","SELECT - Used to select data from a database. FROM - Specifies the table to select data from. WHERE - Filters records based on specified conditions. JOIN - Combines rows from two or more tables based on a related column. GROUP BY - Groups rows that have the same values in specified columns into summary rows. ORDER BY - Sorts the result set in ascending or descending order.","Data Analysis"